"Kind","Route","File","UpdatedUtc"
"page.tsx","/","C:\GeoHistory\frontend\src\app\page.tsx","21/09/2025 21:06:55"
"page.tsx","/admin","C:\GeoHistory\frontend\src\app\admin\page.tsx","21/09/2025 07:32:20"
"route.js","/api/dbcheck","C:\GeoHistory\frontend\src\app\api\dbcheck\route.js","04/09/2025 20:28:16"
"route.js","/api/diag","C:\GeoHistory\frontend\src\app\api\diag\route.js","04/09/2025 12:01:38"
"route.js","/api/events","C:\GeoHistory\frontend\src\app\api\events\route.js","04/09/2025 12:00:24"
"route.js","/api/events/bounds","C:\GeoHistory\frontend\src\app\api\events\bounds\route.js","04/09/2025 12:00:54"
"route.js","/api/health","C:\GeoHistory\frontend\src\app\api\health\route.js","02/09/2025 20:58:26"
"route.js","/api/options","C:\GeoHistory\frontend\src\app\api\options\route.js","09/09/2025 20:10:32"
"route.js","/api/ping","C:\GeoHistory\frontend\src\app\api\ping\route.js","04/09/2025 11:42:06"
"page.tsx","/dashboard/admin","C:\GeoHistory\frontend\src\app\dashboard\admin\page.tsx","22/09/2025 11:14:50"
"page.tsx","/dashboard/enthusiast","C:\GeoHistory\frontend\src\app\dashboard\enthusiast\page.tsx","22/09/2025 11:13:45"
"page.tsx","/dashboard/moderator","C:\GeoHistory\frontend\src\app\dashboard\moderator\page.tsx","22/09/2025 11:14:11"
"page.tsx","/dashboard/researcher","C:\GeoHistory\frontend\src\app\dashboard\researcher\page.tsx","22/09/2025 11:13:16"
"page.tsx","/dashboard/student","C:\GeoHistory\frontend\src\app\dashboard\student\page.tsx","22/09/2025 11:12:41"
"page.js","/explore","C:\GeoHistory\frontend\src\app\explore\page.js","21/09/2025 21:06:15"
"page.tsx","/fan","C:\GeoHistory\frontend\src\app\fan\page.tsx","21/09/2025 07:35:51"
"page.tsx","/forgot-password","C:\GeoHistory\frontend\src\app\forgot-password\page.tsx","20/09/2025 06:55:08"
"page.tsx","/home","C:\GeoHistory\frontend\src\app\home\page.tsx","21/09/2025 07:39:43"
"page.tsx","/landing","C:\GeoHistory\frontend\src\app\landing\page.tsx","21/09/2025 21:22:52"
"route.ts","/landing","C:\GeoHistory\frontend\src\app\landing\route.ts","21/09/2025 21:50:38"
"page.tsx","/landing/[persona]","C:\GeoHistory\frontend\src\app\landing\[persona]\page.tsx","21/09/2025 21:23:18"
"layout.tsx","/login","C:\GeoHistory\frontend\src\app\login\layout.tsx","21/09/2025 17:54:27"
"page.tsx","/login","C:\GeoHistory\frontend\src\app\login\page.tsx","22/09/2025 12:14:59"
"page.tsx","/login/redirect","C:\GeoHistory\frontend\src\app\login\redirect\page.tsx","22/09/2025 11:11:51"
"page.tsx","/moderation","C:\GeoHistory\frontend\src\app\moderation\page.tsx","21/09/2025 07:33:28"
"page.tsx","/post-auth","C:\GeoHistory\frontend\src\app\post-auth\page.tsx","22/09/2025 04:45:55"
"page.tsx","/profile","C:\GeoHistory\frontend\src\app\profile\page.tsx","20/09/2025 11:30:17"
"page.tsx","/register","C:\GeoHistory\frontend\src\app\register\page.tsx","20/09/2025 09:44:36"
"page.tsx","/research","C:\GeoHistory\frontend\src\app\research\page.tsx","21/09/2025 07:35:14"
"page.tsx","/students/high","C:\GeoHistory\frontend\src\app\students\high\page.tsx","21/09/2025 07:41:09"
"page.tsx","/students/middle","C:\GeoHistory\frontend\src\app\students\middle\page.tsx","21/09/2025 07:41:26"
"page.tsx","/students/primary","C:\GeoHistory\frontend\src\app\students\primary\page.tsx","21/09/2025 07:41:47"
