"Route","Referenced","SampleRef"
"/admin","False",
"/api/dbcheck","False",
"/api/diag","False",
"/api/events","False",
"/api/events/bounds","False",
"/api/health","False",
"/api/options","False",
"/api/ping","False",
"/dashboard/admin","False",
"/dashboard/enthusiast","False",
"/dashboard/moderator","False",
"/dashboard/researcher","False",
"/dashboard/student","False",
"/explore","False",
"/fan","False",
"/home","False",
"/landing","False",
"/landing","False",
"/landing/[persona]","False",
"/login/redirect","False",
"/moderation","False",
"/post-auth","False",
"/students/high","False",
"/students/middle","False",
"/students/primary","False",
"/forgot-password","True","C:\GeoHistory\frontend\src\app\register\page.tsx"
"/login","True","C:\GeoHistory\frontend\src\app\forgot-password\page.tsx"
"/login","True","C:\GeoHistory\frontend\src\app\forgot-password\page.tsx"
"/profile","True","C:\GeoHistory\frontend\src\app\landing\page.tsx"
"/register","True","C:\GeoHistory\frontend\src\app\login\page.tsx"
"/research","True","C:\GeoHistory\frontend\src\app\dashboard\researcher\page.tsx"
