"FullPath","RelPath","Directory","Name","Extension","SizeBytes","LastWriteTime","CreatedTime","IsText","IsBinary","Lines","SHA256","GitTracked","GitIgnored","GitUntracked","TopFolder"
"C:\GeoHistory\frontend\.env.local","frontend\.env.local","C:\GeoHistory\frontend",".env.local",".local","1384","05/10/2025 19:45:59","11/09/2025 22:43:00","False","False",,"C0FF8C0BAA3A95F07DA7614A9A63565B1A3B3DAEDE7B60D1CD8CC70D92B0DD4C","False","True","False","frontend"
"C:\GeoHistory\frontend\.vscode\extensions.json","frontend\.vscode\extensions.json","C:\GeoHistory\frontend\.vscode","extensions.json",".json","50","29/09/2025 22:06:55","29/09/2025 22:06:55","True","False","3","F1AC9489E28121ACE1C099FAA8B2BF53477EBBFA317B78894FD139D5C0072ED8","True","False","False","frontend"
"C:\GeoHistory\frontend\.vscode\settings.json","frontend\.vscode\settings.json","C:\GeoHistory\frontend\.vscode","settings.json",".json","390","29/09/2025 22:06:55","29/09/2025 22:06:55","True","False","24","1A6145CD87349462346F064978318F3E0EAE1D9F0B39B19A1DFC47D6C30B54D4","True","False","False","frontend"
"C:\GeoHistory\frontend\app\api\(admin)\admin\tables\[table]\meta\route.ts","frontend\app\api\(admin)\admin\tables\%5Btable%5D\meta\route.ts","C:\GeoHistory\frontend\app\api\(admin)\admin\tables\[table]\meta","route.ts",".ts","1072","06/10/2025 08:07:40","06/10/2025 06:58:47","True","False",,,"True","False","False","frontend"
"C:\GeoHistory\frontend\app\api\(admin)\admin\tables\[table]\route.ts","frontend\app\api\(admin)\admin\tables\%5Btable%5D\route.ts","C:\GeoHistory\frontend\app\api\(admin)\admin\tables\[table]","route.ts",".ts","2651","06/10/2025 08:07:28","06/10/2025 06:58:39","True","False",,,"True","False","False","frontend"
"C:\GeoHistory\frontend\app\api\(admin)\admin\tables\[table]\rows\[id]\route.ts","frontend\app\api\(admin)\admin\tables\%5Btable%5D\rows\%5Bid%5D\route.ts","C:\GeoHistory\frontend\app\api\(admin)\admin\tables\[table]\rows\[id]","route.ts",".ts","2001","06/10/2025 06:58:56","06/10/2025 06:58:56","True","False",,,"True","False","False","frontend"
"C:\GeoHistory\frontend\app\api\(admin)\admin\tables\route.ts","frontend\app\api\(admin)\admin\tables\route.ts","C:\GeoHistory\frontend\app\api\(admin)\admin\tables","route.ts",".ts","721","06/10/2025 08:07:10","06/10/2025 06:58:11","True","False","17","2D1EFCF764AFBA3B35AB04864836D32208767628FD17AF7D993774C2BAF3DFA0","True","False","False","frontend"
"C:\GeoHistory\frontend\app\api\(admin)\admin\users\[id]\route.ts","frontend\app\api\(admin)\admin\users\%5Bid%5D\route.ts","C:\GeoHistory\frontend\app\api\(admin)\admin\users\[id]","route.ts",".ts","5689","06/10/2025 08:21:30","06/10/2025 06:59:22","True","False",,,"True","False","False","frontend"
"C:\GeoHistory\frontend\app\api\(admin)\admin\users\route.ts","frontend\app\api\(admin)\admin\users\route.ts","C:\GeoHistory\frontend\app\api\(admin)\admin\users","route.ts",".ts","3024","06/10/2025 08:21:06","06/10/2025 08:21:06","True","False","82","62BFF59B650D3B30F1C7CA8DEF3091688298D50EFC626123E174D9B4D9243839","True","False","False","frontend"
"C:\GeoHistory\frontend\app\api\(debug)\debug\auth\route.ts","frontend\app\api\(debug)\debug\auth\route.ts","C:\GeoHistory\frontend\app\api\(debug)\debug\auth","route.ts",".ts","2189","06/10/2025 07:01:08","06/10/2025 07:01:08","True","False","62","9AB5BCC7B4A47A490518F4FEB03CCB8D48E43D5A810FB403102C724CAEC07B5E","True","False","False","frontend"
"C:\GeoHistory\frontend\app\api\(debug)\debug\ping\route.ts","frontend\app\api\(debug)\debug\ping\route.ts","C:\GeoHistory\frontend\app\api\(debug)\debug\ping","route.ts",".ts","515","06/10/2025 07:00:56","06/10/2025 07:00:56","True","False","15","4058F3FD69D5B42B64918E94270673441701D57F0F350954A00F3F5052DFC840","True","False","False","frontend"
"C:\GeoHistory\frontend\app\api\(debug)\debug\supabase\route.ts","frontend\app\api\(debug)\debug\supabase\route.ts","C:\GeoHistory\frontend\app\api\(debug)\debug\supabase","route.ts",".ts","4612","06/10/2025 07:01:53","06/10/2025 07:01:23","True","False","128","75BF5357B62C4B76B9A32CD3D47AF69C870E06FA7D170E095E5329F80F22C57D","True","False","False","frontend"
"C:\GeoHistory\frontend\app\api\ingest\video\route.ts","frontend\app\api\ingest\video\route.ts","C:\GeoHistory\frontend\app\api\ingest\video","route.ts",".ts","2715","03/10/2025 01:15:10","03/10/2025 00:28:19","True","False","67","3FFC80F0D45F2A2DC8500312B352878CE56664239BD6BD2F551B2666F4C5CA7E","True","False","False","frontend"
"C:\GeoHistory\frontend\app\api\profile\update\route.ts","frontend\app\api\profile\update\route.ts","C:\GeoHistory\frontend\app\api\profile\update","route.ts",".ts","3682","13/10/2025 21:25:04","03/10/2025 14:50:41","True","False","84","1B230C5EF1567DE8896E2DD27258EE4BEA09A4DFE3EF14A72B289BF1442BEBD6","True","False","False","frontend"
"C:\GeoHistory\frontend\app\api\register\profile\route.ts","frontend\app\api\register\profile\route.ts","C:\GeoHistory\frontend\app\api\register\profile","route.ts",".ts","1421","06/10/2025 13:08:37","06/10/2025 13:08:37","True","False","36","FD79592A2DF11B799A6FBE141F2B4EEA94DD5E1EED2A4010A230E8FA7E1536F1","True","False","False","frontend"
"C:\GeoHistory\frontend\app\components\RatingStars.tsx","frontend\app\components\RatingStars.tsx","C:\GeoHistory\frontend\app\components","RatingStars.tsx",".tsx","4864","13/10/2025 21:36:44","10/10/2025 21:16:53","True","False","126","CFC96DF628BB8669D231BD732FC748F96EE00B0FEF4BFA5C210A10801FDB7112","True","False","False","frontend"
"C:\GeoHistory\frontend\app\components\RatingSummary.tsx","frontend\app\components\RatingSummary.tsx","C:\GeoHistory\frontend\app\components","RatingSummary.tsx",".tsx","2094","13/10/2025 21:36:44","10/10/2025 22:07:48","True","False","61","3C9EB1634694ABDB5CEC4C05E6CAF60B1C9A223E6DD00199687009D5C2C9D1C1","True","False","False","frontend"
"C:\GeoHistory\frontend\app\components\SupabaseProvider.tsx","frontend\app\components\SupabaseProvider.tsx","C:\GeoHistory\frontend\app\components","SupabaseProvider.tsx",".tsx","511","23/10/2025 20:33:16","23/10/2025 20:12:46","True","False","9","1E61AFCBBDB7F2BBFA065D771123EB7C41BA6B69D8C2361903E5FF1DDA266A87","False","False","True","frontend"
"C:\GeoHistory\frontend\app\components\TopBar.tsx","frontend\app\components\TopBar.tsx","C:\GeoHistory\frontend\app\components","TopBar.tsx",".tsx","4642","03/10/2025 16:51:00","03/10/2025 15:15:06","True","False","126","68F1412F0E54F3846986FEC2BE23F596CBEB945BC03E78580C071E2CAE88C6C2","True","False","False","frontend"
"C:\GeoHistory\frontend\app\globals.css","frontend\app\globals.css","C:\GeoHistory\frontend\app","globals.css",".css","449","27/09/2025 20:36:37","27/09/2025 13:07:36","True","False","7","9DDFE261A487EE507B76272D61F5D9CC1D44EB51BC173231FDD8E1ABF41E0784","True","False","False","frontend"
