"TopFolder","FilesCount","TotalBytes","Tracked","Ignored","Untracked"
"frontend","195","5526193","177","3","15"
"restore_backups","24","451682","21","3","0"
"backend","10","145133","9","1","0"
"backups","5","251484159","0","5","0"
"app","4","7678","4","0","0"
"scripts","2","2990","2","0","0"
"_tmp_swap_bc.py","1","1603","1","0","0"
".vscode","1","58","1","0","0"
".gitattributes","1","25","1","0","0"
"package-lock.json","1","12310","1","0","0"
"package.json","1","172","1","0","0"
".gitignore","1","199","1","0","0"
"Audit-Geohistory.ps1","1","7886","0","0","1"
"_tmp_events_inspect.py","1","1912","1","0","0"
"_tmp_events_rest.py","1","1869","1","0","0"
"replace_cartoon.py","1","6476","1","0","0"
"test-login.js","1","681","1","0","0"
